
23685, 23686
23585, 23583
23672, 23633
23596, 23597
23347, 23350
23993, 24009
23586, 23579
23340, 23324
23608, 23609
23456, 23437
23346, 23324
23603, 23604
23741, 23735
23624, 23625
24016, 23985
23608, 23613
23579, 23583
23686, 23687
23928, 23923
23457, 23477
23669, 23591
23498, 23502
23457, 23492
23591, 23655
24001, 24020
23366, 23399
23660, 23629
23594, 23591
23576, 23577
23402, 23399
23449, 23437
23792, 23798
23579, 23644
23644, 23583
23520, 23399
23579, 23591
23586, 23594
23324, 23741
23377, 23399
23323, 23340
23345, 23324
23881, 23882
23579, 23667
23324, 23340
23792, 23457
23960, 23963
23389, 23366
23681, 23679
23498, 23500
23586, 23591
23528, 23524
23574, 23575
23923, 23926
23655, 23591
23616, 23615
23652, 23653
23857, 23375
23976, 23323
23660, 23644
23524, 23527
23663, 23631
23665, 23631
23665, 23663
23644, 23655
23946, 23943
23554, 23556
23583, 23655
23801, 23802
23753, 23823
23708, 23679
23561, 23558
23985, 24015
23768, 23767
23411, 23421
23778, 23779
