url	id	lexeme
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000000&variant=1	1000000	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000002&variant=1	1000002	Brzeg
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000003&variant=1	1000003	toczka
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000004&variant=1	1000004	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000005&variant=1	1000005	bandzioch
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000006&variant=1	1000006	syfon
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000007&variant=1	1000007	Kali
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000008&variant=1	1000008	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000009&variant=1	1000009	wygawor
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000010&variant=1	1000010	cyku
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000011&variant=1	1000011	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000012&variant=1	1000012	yerba
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000013&variant=1	1000013	durian
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000014&variant=1	1000014	szerpa
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000015&variant=1	1000015	Podbeskidzie
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000016&variant=1	1000016	Roztocze
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000017&variant=1	1000017	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000018&variant=1	1000018	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000019&variant=1	1000019	squat
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000020&variant=1	1000020	ajwar
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000021&variant=1	1000021	zombie
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000022&variant=1	1000022	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000024&variant=1	1000024	Afrykanerka
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000025&variant=1	1000025	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000026&variant=1	1000026	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000027&variant=1	1000027	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000028&variant=1	1000028	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000029&variant=1	1000029	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000030&variant=1	1000030	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000031&variant=1	1000031	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000032&variant=1	1000032	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000033&variant=1	1000033	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000034&variant=1	1000034	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000035&variant=1	1000035	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000036&variant=1	1000036	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000037&variant=1	1000037	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000038&variant=1	1000038	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000039&variant=1	1000039	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000040&variant=1	1000040	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000041&variant=1	1000041	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000042&variant=1	1000042	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000043&variant=1	1000043	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000044&variant=1	1000044	NA
http://sgjp.pl/edycja/ajax/inflection-tables/?lexeme_id=1000045&variant=1	1000045	NA
